event_id,facility_id,dist_to_facility,facility_category_encoded,peak_frp_mw,mean_frp_mw,frp_variance,max_brightness_k,duration_hours,day_night_ratio,historical_active_days_90d,historical_peak_frp,pct_cropland,pct_forest,pct_urban,is_industrial_zone,label,label_quality
SYN-INDFIRE-000,FAC-IND-004,32.906018411707336,3,461.2568767571361,146.24226674444606,542.0301836225395,514.5371934865789,40.67853776222044,0.5584786958648507,0,23.682995224019,0.05,0.05,0.9445897960283702,1,IND_FIRE,SYNTHETIC
SYN-INDFIRE-001,FAC-IND-019,225.72477322306747,5,769.9614768586383,732.2959768024574,3835.9956148706497,458.4817404485415,51.91913873810661,0.6732397744350008,1,33.98249561673593,0.05,0.05,0.8631313183533799,1,IND_FIRE,SYNTHETIC
SYN-INDFIRE-002,FAC-IND-016,179.4125087701047,6,870.3811440350162,423.22898820814817,3491.6621760929384,396.27690433606426,23.653285940520203,0.44066599615591096,4,9.57149917147751,0.05,0.05,0.8684163355841304,1,IND_FIRE,SYNTHETIC
SYN-INDFIRE-003,FAC-IND-023,29.717395952172758,10,160.83114949203866,595.0026007325516,2404.9749399390325,418.33916865499344,6.034298270519221,0.43770888851675466,2,30.669972643352022,0.05,0.05,0.6764633105195406,1,IND_FIRE,SYNTHETIC
SYN-INDFIRE-004,FAC-IND-014,433.09965691236283,9,1038.1728978560477,236.82472992108958,4364.170365804885,365.6441554106606,28.72278900074636,0.49761744647986406,0,39.69787513516679,0.05,0.05,0.9049139997695105,1,IND_FIRE,SYNTHETIC
SYN-INDFIRE-005,FAC-IND-020,163.05774579157188,9,556.4281003176495,94.27357853389529,3635.4647517184076,417.56006064990083,44.10468306478653,0.48062965439530336,1,22.893415138892877,0.05,0.05,0.6638446156976783,1,IND_FIRE,SYNTHETIC
SYN-INDFIRE-006,FAC-IND-008,294.4374825790867,4,1113.1858402987816,512.9828727131555,2751.826892586995,426.5520405739834,32.11850108835227,0.3471442457517796,3,10.762319722375047,0.05,0.05,0.6468259078192504,1,IND_FIRE,SYNTHETIC
SYN-INDFIRE-007,FAC-IND-023,392.05002255799394,3,1187.6180437962971,413.1563510760051,1347.9745730762058,491.0234732102642,71.24596361456173,0.57319436770577,2,16.812946457572377,0.05,0.05,0.8766835553797465,1,IND_FIRE,SYNTHETIC
SYN-INDFIRE-008,FAC-IND-002,457.9560910478923,9,998.7133440629917,362.7693588319315,1732.9959884136363,378.53580308839565,57.63243615517688,0.43588713440584353,3,32.056658197246335,0.05,0.05,0.7612119076405424,1,IND_FIRE,SYNTHETIC
SYN-INDFIRE-009,FAC-IND-013,136.24151585785108,4,301.1510467645044,419.7815952937062,4685.513361695468,479.24800697392976,5.181303422024027,0.6830229433913181,0,37.41708156064242,0.05,0.05,0.8229336382953994,1,IND_FIRE,SYNTHETIC
SYN-INDFIRE-010,FAC-IND-012,458.20572944676627,9,832.3925377092027,655.3596649745425,1756.1559928550575,412.64626381401115,66.94774553760323,0.6594332969232131,4,19.980406603770298,0.05,0.05,0.8391659142655745,1,IND_FIRE,SYNTHETIC
SYN-INDFIRE-011,FAC-IND-021,85.11594721624706,7,146.22827898654742,506.9141941760408,1282.743669561565,395.99544851145316,21.173684105629928,0.5344453047179658,4,31.867331263333046,0.05,0.05,0.72421984416722,1,IND_FIRE,SYNTHETIC
SYN-INDFIRE-012,FAC-IND-011,429.2953322016649,9,809.4098787557845,323.14710185327635,3377.121786980885,490.3716029862854,41.16394386084739,0.4835822826979315,0,37.62112362486989,0.05,0.05,0.8978760106806962,1,IND_FIRE,SYNTHETIC
SYN-INDFIRE-013,FAC-IND-007,470.49217815930183,9,785.7793464836026,719.200437473622,2462.5775267346667,481.751856743792,59.22411794669874,0.4372481677871702,4,15.924082641515378,0.05,0.05,0.6103781593661448,1,IND_FIRE,SYNTHETIC
